iter	RMSE
0	0.6575178877
1	0.6560622049
2	0.6535748587
3	0.651532138
4	0.6487116051
5	0.6461702929
6	0.6430710199
7	0.6400100146
8	0.6387311358
9	0.6361731401
10	0.634340879
11	0.6327590359
12	0.6312898256
13	0.6289784674
14	0.6263455304
15	0.6232392571
16	0.6208953507
17	0.6188663315
18	0.6173320738
19	0.6158140202
20	0.6154244135
21	0.6141549253
22	0.612820683
23	0.6108489077
24	0.6089983345
25	0.6072946853
26	0.6052833923
27	0.6037167665
28	0.6019647598
29	0.6002355525
30	0.5977763606
31	0.595471881
32	0.5937410652
33	0.5924681139
34	0.5904009147
35	0.5888843471
36	0.5882422323
37	0.5857508213
38	0.5831274522
39	0.5797463814
40	0.5782532581
41	0.5750008886
42	0.5710939763
43	0.5684026794
44	0.5659053134
45	0.5618037779
46	0.5579826535
47	0.5556076578
48	0.5525803358
49	0.5512968234
50	0.5497738172
51	0.5480978926
52	0.5465560358
53	0.544051181
54	0.5431536308
55	0.5405311425
56	0.5377507281
57	0.5362481603
58	0.5342987856
59	0.5330942093
60	0.5321725374
61	0.5294376667
62	0.5285833647
63	0.5256991227
64	0.5234980662
65	0.5216682471
66	0.5191931088
67	0.5180853639
68	0.516211303
69	0.5146852234
70	0.5132005519
71	0.5108714004
72	0.5083282006
73	0.5062594295
74	0.5036346341
75	0.5019326915
76	0.5003081728
77	0.4993349754
78	0.4984614213
79	0.4964234202
80	0.4946662373
81	0.4915483712
82	0.4900969995
83	0.4882543858
84	0.486572888
85	0.4843135655
86	0.4820700342
87	0.4806653696
88	0.4784789657
89	0.4765116982
90	0.4734742044
91	0.4721048049
92	0.4705627629
93	0.468709947
94	0.4666360667
95	0.4646298109
96	0.4630237757
97	0.4616388717
98	0.4606498015
99	0.4585306051
