iter	Passed	Remaining
0	2	246
1	4	215
2	5	192
3	7	180
4	9	171
5	10	164
6	12	161
7	13	156
8	14	148
9	16	144
10	19	157
11	21	154
12	22	150
13	24	147
14	25	144
15	26	141
16	28	138
17	29	135
18	31	133
19	33	135
20	34	130
21	36	128
22	37	127
23	39	125
24	41	123
25	42	121
26	44	119
27	45	117
28	48	119
29	50	117
30	51	115
31	53	113
32	54	111
33	56	109
34	57	107
35	59	105
36	60	103
37	63	102
38	65	101
39	66	100
40	68	98
41	69	96
42	71	94
43	72	92
44	74	91
45	76	89
46	79	89
47	81	88
48	83	87
49	85	85
50	87	84
51	89	82
52	90	80
53	93	79
54	96	78
55	97	76
56	99	74
57	100	73
58	102	71
59	104	69
60	105	67
61	111	68
62	112	66
63	114	64
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	124	53
70	126	51
71	128	49
72	129	47
73	131	46
74	132	44
75	134	42
76	135	40
77	137	38
78	139	37
79	141	35
80	143	33
81	144	31
82	146	29
83	147	28
84	149	26
85	150	24
86	152	22
87	154	21
88	156	19
89	158	17
90	159	15
91	161	14
92	162	12
93	164	10
94	165	8
95	167	6
96	170	5
97	171	3
98	173	1
99	174	0
